,wallet_age_days,transaction_count,total_deposited_usd,total_borrowed_usd,total_repaid_usd,liquidation_count,health_ratio,repayment_ratio,credit_score
0x0194d076503771b976a062c4cde310b13d3e9960,98,42,6.21236549729816e+23,190738220228.225,176083546677.767,0,3321036439890.623,0.923,937
0x0524f2b8765ee3a1a033311ddc9e2dcaad34b8c3,83,83,8.919701460105508e+20,100100682.901,100137427.518,0,9810548214641.262,1.0,936
0x053a19dbc9fd177b7d71de03d9ff7475e89f9d53,77,13,1.739398312604438e+21,200833502.409,200347932.492,0,13629398450763.848,0.998,934
0x002de04d579930686698abab5f48bda0b24fb9fc,80,85,4.557611237307445e+22,43067646503.005,43774100999.62,0,1824976332742.723,1.016,934
0x02ad56758fef56099cf57531d0c97bb1aa1f076e,126,95,1.089371508902269e+23,42263313630.229,35955568644.518,0,4356584614689.608,0.851,934
0x0577ba0a9145afa894becc8f2387711fd48a6e04,81,37,1.129888342810433e+22,4400977159.245,4406737263.157,0,2567357888248.424,1.001,932
0x029f19fc5a2425a4f04c3e1f6855af0afbcc3c93,87,160,1.1123611602632416e+21,760635847.732,760000315.205,0,2735205152003.862,0.999,930
0x057c1c29f1e071c8a4f92baf4255e8b76e5f8eed,80,33,1.6120850925506267e+22,22763717589.49,22940494209.415,0,1625151228845.412,1.008,928
0x022d9d334a2ff3ccd372fa345c87106e3428b0f4,45,16,3.2049063587133087e+21,44271600.801,44175796.92,0,145879907595203.6,0.998,926
0x028d10812993bf789c9c8789316f03e1985f07f2,72,13,2.6938346435753596e+22,12012302962.532,12045560251.996,0,2242563022062.422,1.003,925
0x042a154ede61e25b4220cbc83e76c79f8c0d3926,65,66,1.8955850135472916e+23,90197982143.994,90111615629.385,0,2101582506091.551,0.999,925
0x03a3d0eb17509dc9fb2a892ac1eab68419deb19b,80,19,1.1321320863465573e+21,450175154.554,450378588.908,0,3817300144497.692,1.0,925
0x0472fb73541e18716446b3c52d4221c8f78de7ae,80,15,8.149882002753824e+20,264474492.655,262722278.0,0,5818595956746.695,0.993,925
0x01952b83f4fbb1fdd4bf11087638f0821175f7b4,79,21,6.354675673054144e+20,210060840.852,210290605.652,0,4435919759247.213,1.001,923
0x03917b0fc420092b18dcb24e719f44600211eb45,70,14,1.6241852016399735e+21,199978836.492,202513616.267,0,8121785394938.803,1.013,923
0x045e2a9db6ca319f6b667813c6088067eb52851e,55,224,2.0325511205042596e+24,2041644490700.335,2032260622305.072,0,1996116504710.42,0.995,923
0x005ae07a1782019253917d76334a0579ac3a9b64,54,30,4.160943247564217e+22,7011884333.508,7031893635.477,0,11304453715782.09,1.003,923
0x033ea4c2e32eab510cb29d8c492dd4c1171cea50,76,21,2.2147055246787252e+21,1089770337.028,1083276001.799,0,4044120068857.922,0.994,922
0x05de2c64e8b7d2b85c1e45843c3e97db0d3dd0ff,102,49,4.827468730207564e+20,1941091234.909,1970749646.64,0,248698703217.483,1.015,920
0x0567d99a4420b8da0fd91c5ecba78955c04974f0,80,103,4.18667800346532e+20,279728148.341,280888690.203,0,3182624893807.413,1.004,920
0x04fdac80b3ca0b9066bd275f176dc807e3908a8e,80,66,4.6015238736474035e+21,8230856014.759,8243528289.578,0,1138630613453.883,1.002,920
0x04fc43e8f4da7fbae135cb0ae73b8913d8e044d8,72,97,1.8557919479677785e+21,705381738.758,707491379.927,0,2644260957533.082,1.003,916
0x050eff11eb0b016fd8cf4d4f564584626f09ee60,73,8,6.00124707e+20,349851172.997,350511603.881,0,3607655874377.234,1.002,915
0x0228c4032162fc5485f00f2638822c15f32ca561,122,38,9.989465727133594e+22,6742752697.715,5308914764.225,0,15398643810091.08,0.787,915
0x047a1f7235a03aa9016061b16b54da901044fe0e,44,40,2.075965692760294e+22,1504043537.708,1505243341.427,0,20047853432685.945,1.001,915
0x03158305104b385e1a566fa7153dfb13da15f410,30,20,2.1506396313746748e+21,18294023.791,18319971.999,0,210122858781088.72,1.001,913
0x05986ff3f0e4c621ba6484762f2d734201c33b54,69,17,2.036342529397333e+20,64332101.998,64478461.714,0,7495812611876.628,1.002,913
0x006acbf79f7c4580fa01ffa48085d832592f1b63,61,18,2.284531614423498e+22,31991132144.388,32219987697.288,0,2138991779203.255,1.007,912
0x0556ba62cf5325e058d1ab758f76e9c0bb201ed9,45,17,5.862889925331753e+21,500665580.543,500969723.662,0,17637684178560.914,1.001,910
0x0487fed00e5f5e81507b1cd6e851b741a4a020fd,42,16,2.5546162209441508e+23,102270683722.273,102304649348.629,0,4670356010867.303,1.0,910
0x048f06d1afb5e43f73f593aab1b2a4316ddb5d9f,52,4,6.411656705617007e+21,2615956120.183,2623133087.366,0,5468697299268.952,1.003,907
0x030d9f55c7f7589034b829a87bf3bd84d6682a18,55,43,8.048571788281007e+23,2211581591624.056,2215017154953.46,0,486507657047.57,1.002,907
0x029de7a8c9511978c4795beccf60553d36318cfd,59,20,3.696631014023027e+22,37331799773.559,38752038173.249,0,1013835468156.876,1.038,906
0x02b0f2fdd791d194a5d941579a696894d67c38b2,59,21,6.084584972834678e+20,99069314.707,99110838.091,0,6141745231026.091,1.0,906
0x0524849b35de1273b41918ce5c0f5b260a4bd033,49,56,1.6364501220410704e+23,179915643602.214,179368534437.208,0,1849012966028.901,0.997,906
0x03f4ac46922f745a7088e92df0a9b37f299e5614,41,23,1.5037776950510613e+23,99699201398.866,105269809957.806,0,4159421920441.516,1.056,905
0x00f14df956a8e0b34e0c5bddb6e39dec48ec7baa,57,5,1.0440259182180013e+21,500019054.93,505769713.816,0,5029067044060.767,1.012,904
0x05ab8ff4726dfb3d965dcf606e570b734d66254d,22,19,1.2081864298576006e+21,9992601.606,10015696.754,0,201846890222027.78,1.002,902
0x058476edacb23e9507cff379e7dd8cf4dee4d2db,48,24,6.967195708940063e+22,161079607407.171,161142341154.06,0,1886270108714.14,1.0,902
0x02ebc38f9ddaebc16f4a2f4e9c90cee0b9eac910,77,32,1.147745762776986e+22,190163887673.827,199338384084.205,0,124755356931.917,1.048,901
0x0014dfac19477a83d7354e6eaac28642c1959398,30,36,8.672151626282624e+22,18149001627.911,18188824774.686,0,9342518932265.771,1.002,899
0x0194f6b2cd2061b50169ee2c81cd95f982cc0a05,62,12,2.1948438320647248e+20,80029259.731,80007090.669,0,2742551676747.965,1.0,897
0x04bed630357309dc193bebce09a2ae1381166b33,52,8,1.215339865737224e+21,301611819.222,302916359.858,0,4029483542269.122,1.004,897
0x022a09f4cb866d4d70853c9f8d50ce33f1fa0db7,60,58,9.950753571021497e+20,345859947.115,335017840.424,0,5856872052580.396,0.969,896
0x04b8b16b405662a4d14e27d943036dbd31aab01a,46,14,5.465737102853082e+21,3000039877.837,3026502817.381,0,3302132448053.884,1.009,895
0x0132749dd84ea8a0b242ff61f97ff40f96035df3,61,10,1.6244879142447966e+20,65648451.776,65770475.021,0,2588372440116.177,1.002,895
0x045fd671c4d7da33629475def9ababecc339c020,73,23,2.550509024113463e+20,502960215.226,506718690.839,0,512034983786.477,1.007,894
0x048aaa70a3e351c9e3b487ba78fa03efbf062067,91,61,5.15538854591901e+21,116820651592.248,114378324514.613,0,44799979424.584,0.979,894
0x0550f5196ec5c453f8326c7b9bbc3ae60acaac7a,75,18,4.049122689015842e+20,190982537.579,183051652.212,0,2120153349698.016,0.958,894
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,31,39,4.700590933337324e+22,17043969762.902,16966997048.559,0,5349225392789.922,0.995,891
0x05b43571094e8613c2e993b4a8534ef974e84d75,84,22,1.4934787918414697e+21,30018316069.87,29968893009.158,0,49752250874.958,0.998,891
0x029d81af39e6969033906aa51ba0a2e5f055fd43,57,27,3.861402580549454e+20,530369790.916,530640116.658,0,1563681421662.66,1.001,889
0x0225c9cc9a6413812b15ad1c706c3c8b90c0459f,63,68,3.2162802244863703e+21,34066208594.578,34026730383.25,0,278368849409.853,0.999,888
0x000000000a38444e0a6e37d3b630d7e855a7cb13,39,25,1.8390665686010514e+22,11631431210.321,11640280239.622,0,1978095446369.394,1.001,888
0x031c7807637ecec27d158bd4156c954e682a2f54,29,93,2.7659515944199486e+23,412708912027.732,416164546892.406,0,1645533622991.742,1.008,888
0x01f0592d70220b0bc1802d27d90c22ff40dd7161,30,74,5.552309135233392e+21,602122535.918,599124374.579,0,9221227898194.652,0.995,887
0x02803ab2f41603f75d57ab98871baf84b0c80e90,26,28,1.5863146031398294e+22,2503611947.703,2538810318.599,0,6336104139309.356,1.014,885
0x03289bb5b77a418cfbadec78a7c206b1eb6444c5,58,17,3.5159174081438e+20,302828495.755,294967540.665,0,1734101830583.784,0.974,881
0x055622a2fda7d6f3b813adcc70a32203e2eabc58,25,22,3.0686086650005184e+22,18528762041.725,18548360028.274,0,3119135923237.67,1.001,880
0x0062cb1c249a8579e155794dc86960e4f88af402,25,12,2.0527506713713521e+21,200083123.384,199667765.849,0,10259489288231.496,0.998,879
0x0080bdce06d56ce3911ad7f73e4c3bbd577e267b,22,11,1.6412602644004803e+22,6170020337.697,6173567720.383,0,4869942069035.748,1.001,879
0x03796fa1bf321bf02cb48969723afe7e0cdb5e55,29,9,3.0657417216294346e+21,1501147352.636,1502057651.674,0,4528079325456.229,1.001,878
0x00eddd42021ba97a37097ad4286b893b206e12bc,60,56,4.1660453638210224e+20,4249727124.721,4206573939.071,1,167940566429.975,0.99,878
0x04b2f0087765e57f51ef3c91b2be23d0a02839a6,22,23,1.653806034100148e+22,9004384641.462,9038561074.276,0,4216882808512.296,1.004,877
0x026c2da77a4584478550de459a6abb848519ffe4,117,176,3.1963661403141255e+23,234834971437.63,146618907256.357,5,1730965824239.048,0.624,877
0x02b4d35435f702921a56b5c993c999b6b8eab1df,49,9,3.4662332521684804e+19,345051892.334,414806950.059,2,351847026092.697,1.202,876
0x02535f81854b731a185a765286f7196c6c2b63a4,22,12,9.432169810004762e+21,40084013074.84,39955631586.101,0,5104521331659.846,0.997,876
0x00983187e18f62a2ac1dcebd63f2e5f50394cc74,62,39,3.130245886852406e+21,5351904241.133,5020696647.271,0,1230633228953.017,0.938,876
0x003e9a119439ef34de3237034cee95675b01d5d4,92,31,2.9060987941321605e+22,17372676884.75,14109507427.746,0,3125547193879.092,0.812,875
0x0268f26c311fee1e2652b78e0f4b186239bb30e3,38,54,1.777536369755365e+20,89103675.642,89429201.672,0,3231448527312.023,1.004,874
0x000f4432a40560bbff1b581a8b7aded8dab80026,18,25,3.148876400288765e+22,17603979119.703,17566377247.476,0,3799036126406.158,0.998,874
0x020be4338b750b85c73e598bf468e505a8eb76ea,23,9,2.8683087377450418e+20,16051602.583,15993589.837,0,17869297125764.34,0.996,874
0x027b6146248b3a7648e7c7e243bd01e1704bc3ca,13,8,6.9186340689913785e+22,30498983782.314,30446980699.287,0,4863171568075.872,0.998,874
0x0484b2e7973130c0b31b482175c15a38d86e5840,17,13,1.0840285073084302e+21,199005382.288,199866327.663,0,16783345626305.877,1.004,874
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,30,6,2.8210563760250526e+20,40102676.334,40314333.398,0,7034583632728.75,1.005,874
0x030347c0ef50f625e3172ddeabb921067e85730c,70,49,1.533717493019675e+21,52021829143.692,51994445881.512,0,29482190810.064,0.999,872
0x001bc97d92e1a30b02d4e75be25f06063555d556,9,45,1.1472342231228867e+23,54445837409.093,54503631299.338,0,3938220975791.684,1.001,871
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,66,71,1.876106304033217e+20,963876514.679,933097790.034,0,375533644483.777,0.968,871
0x023234656d0c392c955965ed34e5b4862ffd1574,30,3,1.1316694236650003e+21,497934591.0,502192655.524,0,2272727064650.51,1.009,869
0x05dfa941764538a29be71d32a462ae96facffb02,53,7,1.1621828944027694e+20,499366304.167,502930629.407,0,460425078353.22,1.007,869
0x0451864cdd0cb179893eb91057da7746b5b1973b,17,12,4.091260708826902e+21,757320503.2,761401591.204,0,5402284351393.712,1.005,869
0x0293fafe77e87627af48a55ec2129f769a9cb270,26,55,3.854167126268619e+21,2698056065.768,2695704602.661,0,2040817767744.659,0.999,869
0x014930c2d8878759763f3ac2a492ff94073fd80f,19,28,6.447435454646176e+21,4780772384.982,4799208443.626,0,3568849633469.707,1.004,869
0x0615774010b017e7ec09d228ef37d06564a1d825,8,8,6.024784670498927e+22,25023593138.805,25094681084.791,0,4706092319238.179,1.003,869
0x028e086f46912e677b909e30500c535aa10766b9,21,17,4.89796280000416e+21,3671396249.546,3775556007.802,0,2790234317411.95,1.028,868
0x041a89f3b7ad2eecbfd280a4ec567ed88bd67f49,27,7,4.5684819135327994e+20,114758854.028,115452416.65,0,3980940653706.066,1.006,868
0x000e840a3122ec28d0c29321db172375cb049762,26,10,7.00190083689281e+20,216825703.689,217391397.322,0,3229276181499.428,1.003,867
0x00120ea6fdbaf057eadc1bd149f957488444e92c,0,4,2.61125891711734e+20,2602967.788,2616377.402,0,100318487449228.92,1.005,867
0x01b92f893b1c302bcf1945fd4edf10df99b4f181,43,8,2.6111112002284867e+18,681119251.969,1369461343.498,0,4882026326696.924,2.011,866
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,34,6,4.474119381076986e+20,224887327.952,223231787.409,0,1989493762086.444,0.993,866
0x013c8b849edb8efc9a689854b7bc75f2dd1ccfff,16,9,2.181176579846747e+20,28004085.645,28001403.958,0,15553088999625.887,1.0,866
0x01952760a2f72cfa13b3557b6e015b40126961c0,16,53,5.145778075981091e+21,4199344449.17,4246936534.087,0,3381635913905.681,1.011,865
0x029bcb2e9d1e503e747dea7d0a55ebc055f9b03b,13,16,1.096522159129802e+22,6353240814.224,6476700655.725,0,3439993187183.554,1.019,865
0x04e1a99f76658931ef68f1b6a948378834282954,32,28,4.273348776284637e+20,1051562225.086,1053400758.401,0,1602638448456.104,1.002,865
0x022a109627e1f304eb65977c61b99b0b894868e5,14,15,2.8678649085244195e+21,468536553.266,467844810.603,0,6120898961694.562,0.999,865
0x05a4a3c1fe0916ec75df97a03cb0d8b8408ec402,30,10,3.4709296322978434e+20,144503338.445,144832472.491,0,2401971916791.192,1.002,865
0x053ab16a247321e312f3a8a2a0a8abda48707241,74,21,1.0607199091452984e+24,499680508347.85,399469928278.826,0,2655723185498.406,0.799,864
0x00561a0d394a2cad87c811615f72b61cb0ed3faa,10,6,6.362956131558643e+21,1246089805.206,1259229127.406,0,5106338323184.026,1.011,863
0x0257ffe501e6d7670c5510b6d8a558eddea79475,19,9,3.6686853314996575e+21,1606108201.367,1606614094.846,0,2284208078940.718,1.0,863
0x026a45e4ee23f6777ef668cc21ce816e791926fa,34,10,2.4035011298700153e+19,5926681.574,5938174.994,0,4055390347031.196,1.002,863
0x004403abb2246c48ac770e30e7b36e3b16e152a1,23,12,2.1718297359779986e+21,2225926764.615,2225903365.799,0,1783998734311.369,1.0,863
0x058e6cf8872e54f8196b0dfb354344906a0798a6,26,4,1.8654869950968257e+20,50083188.4,50127673.236,0,3724776751332.101,1.001,863
0x04537c1eeaa19e1b8692c81ff68e9d403d0396ab,2,62,1.387987389225002e+22,3396875967.042,3397693609.944,0,8164934753527.513,1.0,862
0x038e8cdb75c6677cfed6854e8b315066f9a909f0,9,18,5.099619191668399e+21,966027674.704,965235824.976,0,5831123952595.362,0.999,862
0x05327ca0590e721d5af0549ec40415d05155a2a4,121,25,8.100768418674122e+21,9490973485.903,7014652938.097,0,1010818657687.781,0.739,861
0x05d2d40448ec264b542a3b2c308789796bce9e1e,11,20,9.75784507995148e+21,6110604575.352,6130489775.084,0,3086578504306.112,1.003,861
0x05390ba1f2c390fb4c69a252f9292e06552e76b0,22,10,6.07711476966141e+20,200368267.366,205134131.551,0,3032972645426.008,1.024,861
0x0220848dbcb1403f3faae97e30dd2adef05cf91d,0,4,3.176854896440124e+21,399986303.285,400476434.007,0,15894550747203.416,1.001,860
0x03161e579198971cff2dd1769da7758e34b6976c,0,4,2.25589358472647e+22,6976155641.383,6976155641.383,0,6467440370992.46,1.0,860
0x021b65231f1b70a5bc05e3f6099339494b72275c,0,4,1.3878961099270527e+22,3999961077.419,3999961077.419,0,6939547869799.725,1.0,859
0x05255995c8c766e4f71c48c0dd3c3e001d9a34d2,0,4,1.5204233281710401e+22,4591941072.825,4591941072.825,0,6622136148273.852,1.0,859
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,16,7,3.2934715104662186e+20,52794522.975,53256705.756,0,6238282424964.835,1.009,859
0x012c597fca480b9766d52e4c1e5d4c0940982abe,0,4,4.0919550235200046e+21,698572005.95,698572005.95,0,11765737666422.537,1.0,859
0x00800d9019001aff6e1eba3312e35e9b22d3f058,110,122,7.909949867590418e+22,52943345362.715,33427383040.084,4,1833738481065.497,0.631,858
0x060cafc9f21db4171257ead799edb2fbffa56899,13,9,1.0148172282003997e+21,701616633.756,701772810.179,0,4857947998350.785,1.0,858
0x005bf9036a459545ec86252db2a37667a5823b94,0,4,8.347219430104515e+21,2096628512.957,2096628512.957,0,7962516368101.257,1.0,858
0x05547ef01188a7ce563d44cb26391f1d24a51683,0,4,6.624984771288648e+21,1558446220.883,1558446220.883,0,8502038348535.884,1.0,858
0x008426fc298852d92a4a2b3607aa384a51c4b65a,0,4,2.2386058948002424e+22,7803572597.15,7796322495.818,0,5734721868932.424,0.999,858
0x00778698bbc902543b596af6e7c0aa13b614162d,76,48,1.052140777003169e+22,9643103916.629,8151661568.255,0,1091081031575.846,0.845,858
0x036fcf32222c17667b562b427acb2bcd737a0db9,0,4,4.021723115804084e+21,693919209.33,693919209.33,0,11591329526368.29,1.0,858
0x04998145f9615270181f46cacd96e3fb2275bb64,8,8,4.5428991985270716e+21,1179554705.665,1180445055.525,0,3851367955092.344,1.001,857
0x035daa8f8ad585b1059d5fe5476e2bf4237218de,13,8,4.8501544246886374e+20,84762391.558,84842008.126,0,5722059368942.851,1.001,857
0x02eda208efc7d92efeaf7418833c3081a42dd3a1,0,6,1.5561743624735414e+21,200079856.272,200854071.137,0,15623344401922.494,1.004,857
0x03e08a0f18c2b5edb385f4dfe2f5a2b525bc0878,0,4,7.527948587931502e+21,1997233639.134,1997233639.134,0,7538375517675.56,1.0,857
0x0452d528c990273208cd331b2c14de884354ea5b,0,4,7.071705303952511e+21,2045333043.792,2045333043.792,0,6914967048480.515,1.0,856
0x00a9481685d2cb1536bbe5188a898b38d36e34d8,0,4,6.935834423336535e+21,2006281385.407,2006281385.407,0,6914119295856.271,1.0,856
0x0354a4de7462a6987cb9390d5bd065c9b98d34cf,10,17,5.550914512872351e+20,149938149.032,149802362.885,0,6865587411572.694,0.999,856
0x01e6f806b2d34a64bbd982731f49fe6babbed7b7,0,4,5.181859968000006e+21,1499325120.0,1499325120.0,0,6912256581873.145,1.0,855
0x0408c8e4e0d9c052840655dbe768c743d4bd1f2b,0,4,7.001196445617004e+21,2357674118.297,2357674118.297,0,5939070534229.287,1.0,855
0x0418936e04d12847b8ff2a732c382fc8fb78e7d0,0,4,6.595143597548601e+21,2014617535.449,2014617535.449,0,6547290965384.779,1.0,855
0x017c4d3aff4d726da43846579fe49c3646abd6a6,2,9,3.4990100449360253e+21,995639763.217,999808564.004,0,6686638586411.776,1.004,855
0x020989d06ab6d1900d1152ea3fb4a756e3ec096e,9,23,3.551809204597047e+21,2006490687.344,2003204075.666,0,3162639444748.127,0.998,855
0x028641d71b87eb53da604565ed4fca4f7585f663,12,6,1.1367553656041013e+21,721732583.406,722065305.569,0,3235042479937.002,1.0,854
0x0248d827e45291b75c60cd9c66cf4d5b8ed4223b,0,4,6.169347316343135e+21,2002013955.235,2002013955.235,0,6163141168051.807,1.0,854
0x03af63559532b015e76b2e70f6940304be09784f,0,4,7.105374535521195e+21,2993009418.0,2993009418.0,0,4755934221861.931,1.0,853
0x01615d8d53eb9aafcda15853286fdf8259368a68,0,2,0.0,0.0,7.792634520060004e+21,0,1.8667199944279946e+22,7.792634520060004e+21,853
0x05d5b5d8f81b61ae473cf223aac694f13517a939,36,17,2.3334468617258916e+20,602428099.35,605071073.897,0,387340308417.828,1.004,853
0x018e1ba194311b98a6e92b6b2650ed2dd4a90cf9,0,4,2.390543153040005e+21,696655102.92,696655102.92,0,6862917215674.391,1.0,852
0x0358c2ab1c477f338776d96c01a0a53f9dba4d0f,12,12,8.440603700664217e+20,310135143.731,310245721.562,0,2721588908667.118,1.0,851
0x0317ecb39406e23837b8b1aad06bc43f10c1be08,0,4,1.7661795538338164e+21,499919896.964,499919896.964,0,7065849133426.939,1.0,851
0x0171ed588582d1df472015623dcb426d0a1de431,67,24,3.644316866480013e+22,20405165100.94,16714316483.773,0,2215686037583.801,0.819,850
0x009990e99b12f7ebcc594fb721fe56e4f88ac27e,10,5,8.877155020020913e+20,283944465.289,283800942.102,0,3126370144151.41,0.999,850
0x0078dc11a5b751eb0e94d6c97cae29acf6e8579d,15,10,2.9849468051849373e+20,110133682.162,113197567.0,0,2710294180194.096,1.028,850
0x02924ba1974a33fe4563a1f2b762847a2233d496,8,14,8.314628948191035e+21,12975745959.276,13011012141.628,0,1273199861114.08,1.003,850
0x0161cd3a424b77adbc9f73d55dffaa1325ca9e4e,0,10,1.600878130515086e+22,11758680547.322,11734740668.391,0,2716672523649.455,0.998,850
0x0140e9513def4729d7f7b6a5356ce6c84d7ae75b,9,10,2.2256042438575485e+21,252149206.808,243799939.011,0,8826536728795.664,0.967,850
0x02b2b3835e863da7c7aec928586cee0b04a261da,0,4,2.174785725000003e+21,701829156.0,701829156.0,0,6197478982766.171,1.0,850
0x03d59b1566576e7b64e7c43fcc3fff5ecd4c1b43,0,4,1.908436012365476e+21,695207099.084,695207099.084,0,5449140530859.687,1.0,849
0x0282887135e0d365f4e4875870f86bbdaf1e39c9,0,4,2.050905874191313e+21,701875677.816,701875677.816,0,5831663843172.062,1.0,849
0x00988fe82c5550c2240c9874d55cbd100cd1a722,0,4,1.4262940753920016e+21,456971773.862,456971773.862,0,6242372740953.803,1.0,849
0x02615eb2838102011972e092add331d9e723448f,0,4,1.9255355312767728e+21,696061905.353,696061905.353,0,5532655971261.751,1.0,849
0x01b8884b83882069d08c86b053bb1027d04dce96,0,4,1.9222784742932913e+21,702820481.455,702820481.455,0,5428552282237.58,1.0,849
0x04dc6792cdf6f04acf894780cfb486fd0987ae86,9,12,3.4361671879049743e+22,22514989628.099,22025523045.825,0,1526168674518.937,0.978,849
0x04963f5707c9db2d613e8d402453f88a72f1c6d4,0,4,1.957667132330198e+21,706100067.779,706100067.779,0,5563503629072.464,1.0,849
0x023dc0303836189bf3f921476a51ce6898f180ad,16,14,1.7270231169884152e+21,2049102473.495,2055835261.295,0,842819301862.183,1.003,848
0x02706710a0bd191361d1935d74e812a9c588cd05,23,72,3.1705167212669e+21,1587932060.341,1518302132.702,0,1996632474686.983,0.956,848
0x05c001fc9f8bb3f2de12f4901532aec7cad3d446,3,13,6.327246849590958e+20,165119179.678,165103514.552,0,4994207720631.766,1.0,847
0x01dd5d5d0b0bb5bf8dbf7e6d6d8a711578534a58,0,6,1.2137171589260027e+21,207849766.477,207467091.654,0,5839396279619.085,0.998,847
0x02d7da92ffbe43fc603bb8b5c5ccc032dc616d51,1,11,2.5385452970673065e+22,38520509479.84,38649143281.984,0,1289120375450.686,1.003,847
0x03bcc3e7b883f353380babdb76bd914630954a09,86,214,1.4102996835807267e+21,9329194449.717,7937597001.05,0,162313825798.55,0.851,847
0x049262af9167e1fd91c668cea2500eac72bd6df7,1,3,6.3878704537454576e+19,4133821.272,4144215.063,0,15452697364993.201,1.003,846
0x02b265d2ce756e835b1bff29e9a07e77d02488f3,1,5,3.9376758222986575e+21,13018718815.459,13041005948.322,0,2706525268405.856,1.002,846
0x00dc7f0ff419ed1634728a77146c6754541d2b82,9,25,7.014954469805902e+20,760864757.919,758851904.321,0,2643080781832.269,0.997,846
0x015b0bb1bfad0437647e74776a7d649d2e3adebb,0,4,1.628225579700001e+21,744342462.444,744342462.444,0,4374936698268.694,1.0,846
0x05315653e6e5bc09c383e71062a1387e1c5ce341,17,9,6.83169954851025e+18,1997569.721,1997570.72,0,6226549733511.168,1.0,845
0x005ab5979532d34dc60a4582597464df0b5a7c87,9,32,1.7347677756361332e+21,1337693750.065,1340231427.631,0,1296834775714.674,1.002,845
0x0600de154559da51a7b68388cedc72bdda941ddb,46,22,1.9624477561672016e+22,5501013719.191,4708681560.499,0,3567429306646.041,0.856,845
0x026de7b3d021dd600438f69e49c0e34495bf0edc,22,14,4.910383593974538e+21,29420194852.605,30834591489.196,0,200427798206.877,1.048,845
0x051ae28151a68cceea5e234694b82c913a802fb9,1,5,5.583707727746097e+20,64212917.35,63481336.251,0,8695614326885.256,0.989,845
0x02f0e7c42da6ae4eea04c1df5f83f8178d33cc0b,69,10,2.0171634665439615e+21,224352040022.196,214836172998.888,0,8991063626.356,0.958,845
0x060557d6362d3f7e40381571fc85525c61c064c8,7,17,4.4091855490517586e+21,41795985769.398,55661365309.966,0,1112227714200.674,1.332,845
